artist_name,primary_genre,region_hint,priority,affinity_anchor,reason,data_confidence,source_url
Adele,pop,US/Global,5,,Pop anchor; clean big-hook pop; brand-forward; mainstream runway,0.75,
Chappell Roan,pop,US,5,,Alt-pop theatrical persona; cult-to-mainstream compounding arc,0.75,
Charli XCX,pop,UK,5,,Pop experimentalist; culture acceleration; icon-stage compounding,0.75,
Gracie Abrams,pop,US,5,,Intimate pop-songwriter; high-save audience; steady compounding,0.75,
KATSEYE,pop,US/Global,5,,Modern pop group; choreography + memeability; Gen-Z momentum pattern,0.75,
Olivia Rodrigo,pop,US,5,Taylor Swift,Modern pop breakout template; rapid compounding from debut single | Anchor modern pop-breakout arc; big hooks; strong persona.,0.75,
Sabrina Carpenter,pop,US,5,,Maximal pop craft + persona; narrative pop; high conversion,0.75,
Tate McRae,pop,CA,5,,Dance-pop edge; performance-first persona; radio+TikTok compatible,0.75,
Taylor Swift,pop,US,5,,Songwriting + narrative worldbuilding benchmark,0.75,
sombr,pop/alt,?,5,,Zero-to-one-hundred breakout you tracked; early 2025 compounding,0.9,https://www.cosmopolitan.com/entertainment/music/a64923044/sombr-undressed-meaning/
Audrey Hobert,indie pop,US,4,,Alt-pop songwriter; early-internet discovery; voice/persona-led,0.9,https://www.sfchronicle.com/entertainment/article/audrey-hobert-sabrina-carpenter-20077501.php
Billie Eilish,pop,US,4,Joji,Alt-pop minimalism; persona; strong sonic signature.,0.75,
Cameron Winter,alt rock,US,4,,Alt-rock lane; emerging reference,0.9,https://pitchfork.com/news/watch-cameron-winter-perform-drinking-age-on-kimmel/
Clairo,indie pop,US,4,Del Water Gap,Bedroom-to-mainstream indie pop arc; tone+persona.,0.75,
Del Water Gap,indie pop,US,4,,Indie-pop with emotional directness; touring-to-streams bridge,0.75,
Djo,indie pop,US,4,,Indie/synth-pop crossover; actor-to-music virality pattern,0.75,
Dua Lipa,pop,UK,4,Sabrina Carpenter,Polished pop with strong brand coherence.,0.75,
Geese,alt rock,US,4,,Alt-rock/art-rock; scene momentum; critical tastemaker alignment,0.75,
Gregory Alan Isakov,indie folk,US,4,,Indie-folk songwriting benchmark; long-tail catalog power,0.75,
Harry Styles,pop,UK,4,,Pop superstar benchmark; conversion depth; cross-demo,0.75,
JP Saxe,singer-songwriter,CA,4,,Confessional songwriter; lyrical specificity; fan intimacy,0.75,
Joji,indie pop,US,4,,Melancholic alt-pop; internet-native breakout; mood-first,0.75,
Julia Michaels,singer-songwriter,US,4,,Modern pop writing benchmark; topline craft; hook economy,0.75,
LCD Soundsystem,alt rock,US,4,,Alt/indie institution; live-first cult flywheel benchmark,0.75,
Lizzy McAlpine,singer-songwriter,US,4,,Singer-songwriter breakout via TikTok; high-repeat listening,0.75,
Lola Young,indie pop,UK,4,,Soulful alt-pop; voice-forward; UK compounding,0.75,
MJ Lenderman,alt rock,US,4,,Alt-rock/indie; critical-to-fan compounding; guitar-forward,0.75,
MUNA,indie pop,US,4,,Indie-pop with identity; community flywheel; live credibility,0.75,
Maisie Peters,pop,UK,4,Taylor Swift,Narrative pop writing; fan community conversion.,0.75,
Mon Rovia,indie folk,US,4,,Indie-folk warmth; intimacy; organic word-of-mouth,0.75,
Noah Kahan,indie folk,US,4,Gregory Alan Isakov,Modern indie-folk compounding arc; community + singalongs.,0.75,
Olivia Dean,singer-songwriter,UK,4,,UK singer; organic-to-mainstream compounding; voice-forward,0.75,
Phoebe Bridgers,indie folk,US,4,Gregory Alan Isakov,Indie-folk emotional specificity; cult-to-mainstream archetype. | Indie singer-songwriter; cult flywheel; tastemaker network,0.75,
RAYE,pop,UK,4,Adele,Voice + writing + pop craft; UK tastemaker crossover.,0.75,
Slayyyter,pop,US,4,,Hyperpop/alt-pop; internet-native growth dynamics,0.75,
Tame Impala,indie pop,AU,4,,Psychedelic indie-pop; sonic palette benchmark; producer-led aura,0.75,
The 1975,alt rock,UK,4,LCD Soundsystem,Pop/rock hybrid with strong brand language and community. | Alt-pop/rock; aesthetic world; fanbase culture engine,0.75,
The Japanese House,indie pop,UK,4,MUNA,Textural indie-pop; tasteful production; queer-coded persona.,0.75,
The Neighbourhood,alt rock,US,4,,Alt-pop/rock crossover; aesthetic world; sync/playlist strength,0.75,
Twenty One Pilots,alt rock,US,4,,Alt-pop/rock; fanbase intensity + lore; multi-platform longevity,0.75,
Wolf Alice,alt rock,UK,4,,Alt-rock; UK tastemaker path; album-era credibility,0.75,
Beeson,indie pop,US,3,,Indie-pop lane; emerging reference,0.7,https://open.spotify.com/search/Beeson
Conan Gray,pop,US,3,Gracie Abrams,Emo-pop sensibility; youth persona.,0.75,
Dayglow,indie pop,US,3,Tame Impala,Upbeat indie-pop; homegrown arc.,0.75,
Dove Ellis,alt rock,?,3,,Alt/indie lane; emerging reference,0.9,https://www.ft.com/content/a6f93c51-d750-4d14-a5d3-1fb2d5d9c40a
EsDeeKid,pop/alt,?,3,,Emerging; rapid growth you observed (verify spelling/IDs),0.9,https://people.com/who-is-esdeekid-lupus-shares-new-album-11755140
Griff,pop,UK,3,Sabrina Carpenter,Pop with indie credibility; strong vocal tone.,0.75,
HAIM,indie pop,US,3,MUNA,Band-forward pop; strong persona/brand.,0.75,
Holly Humberstone,singer-songwriter,UK,3,Gracie Abrams,Intimate writing; alt-pop framing.,0.75,
Hunter Metts,indie folk,US,3,,Indie-folk singer-songwriter; soft brand; organic growth,0.75,
Kacey Musgraves,country-pop,US,3,,Country-pop benchmark; songwriting+brand clarity,0.75,
Kelsea Ballerini,country-pop,US,3,Kacey Musgraves,Polished country-pop; brand/voice clarity.,0.75,
Lewis Capaldi,singer-songwriter,UK,3,Adele,Big vocal + emotional writing; mass appeal.,0.75,
Lorde,pop,NZ,3,Taylor Swift,Alt-pop minimalism; songwriting focus.,0.75,
Madison Beer,pop,US,3,Tate McRae,Pop/alt edge with strong aesthetics.,0.75,
Maggie Rogers,indie pop,US,3,MUNA,Indie-pop/folk crossover; live credibility; organic climb | Indie-pop with folk roots; tasteful lift.,0.75,
PinkPantheress,indie pop,UK,3,Joji,Internet-native pop; short-form acceleration archetype.,0.75,
Rex Orange County,singer-songwriter,UK,3,JP Saxe,Pop-adjacent singer-songwriter with indie audience.,0.75,
Rina Sawayama,pop,UK,3,Chappell Roan,Pop with genre-bending edge.,0.75,
Role Model,pop/alt,US,3,,Alt-pop persona; internet growth dynamics; short-form fit,0.75,
Steinza,indie folk,?,3,,Indie-folk lane; emerging reference (verify spelling/ID),0.7,https://open.spotify.com/search/Steinza
The Last Dinner Party,alt rock,UK,3,Wolf Alice,Recent alt-rock breakout; theatrical persona/brand.,0.75,
Troye Sivan,pop,AU,3,Joji,Alt-pop with strong visual identity.,0.75,
Wallows,indie pop,US,3,DJO,Guitar indie-pop; clean hooks.,0.75,
Angus & Julia Stone,indie folk,AU,2,Gregory Alan Isakov,AU folk-pop; intimate duets.,0.75,
Ariana Grande,pop,US,2,Sabrina Carpenter,Pop vocal + brand clarity.,0.75,
Ben Howard,indie folk,UK,2,Gregory Alan Isakov,UK indie-folk tone; guitar-forward.,0.75,
Benjamin Ingrosso,pop,SE,2,Harry Styles,Modern Swedish pop craft.,0.75,
Bleachers,indie pop,US,2,Taylor Swift,Pop craft with indie frame; producer-network adjacency.,0.75,
Bon Iver,indie folk,US,2,Gregory Alan Isakov,Indie-folk prestige; influence anchor.,0.75,
Chelsea Cutler,singer-songwriter,US,2,JP Saxe,Pop-adjacent songwriter; playlist-friendly.,0.75,
Courtney Barnett,alt rock,AU,2,Wolf Alice,Indie guitar rock with sharp persona.,0.75,
Dermot Kennedy,singer-songwriter,IE,2,Adele,Arena singer-songwriter; strong vocal identity.,0.75,
FINNEAS,singer-songwriter,US,2,Julia Michaels,Producer/songwriter persona; network adjacency.,0.75,
First Aid Kit,indie folk,SE,2,Gregory Alan Isakov,Swedish folk duo; harmonies; narrative writing.,0.75,
Fleet Foxes,indie folk,US,2,Gregory Alan Isakov,Indie-folk harmonic palette; prestige anchor.,0.75,
Florence + The Machine,alt rock,UK,2,Wolf Alice,Theatrical alt-pop; strong branding.,0.75,
Flume,indie pop,AU,2,Tame Impala,Producer-forward AU ecosystem; sonic palette reference.,0.75,
Fontaines D.C.,alt rock,IE,2,Wolf Alice,Modern post-punk; scene credibility.,0.75,
IDLES,alt rock,UK,2,LCD Soundsystem,High-energy alt-rock; strong live conversion.,0.75,
Inhaler,alt rock,IE,2,The Neighbourhood,Modern guitar band; UK/IE pipeline.,0.75,
Jamie xx,indie pop,UK,2,LCD Soundsystem,Electronic-indie crossover; tastemaker lane.,0.75,
Lainey Wilson,country-pop,US,2,Kacey Musgraves,Contemporary country momentum archetype.,0.75,
Lykke Li,indie pop,SE,2,Joji,Swedish indie-pop; moody aesthetic.,0.75,
Maren Morris,country-pop,US,2,Kacey Musgraves,Crossover country-pop; vocal identity.,0.75,
Megan Moroney,country-pop,US,2,Kacey Musgraves,Newer country-pop tone; fan conversion.,0.75,
Nothing But Thieves,alt rock,UK,2,Twenty One Pilots,Alt-rock with pop hooks; strong vocal identity.,0.75,
Novo Amor,indie folk,UK,2,Gregory Alan Isakov,Atmospheric indie-folk; playlist-friendly.,0.75,
Paramore,alt rock,US,2,Wolf Alice,Alt-pop/rock anchor; female-led brand.,0.75,
Robyn,pop,SE,2,Charli XCX,Swedish pop legacy; emotional dance-pop.,0.75,
RÜFÜS DU SOL,indie pop,AU,2,Tame Impala,Electronic-leaning indie; festival live conversion.,0.75,
SZA,pop,US,2,Adele,Alt-R&B/pop; modern songwriting; persona.,0.75,
Sam Fender,alt rock,UK,2,Twenty One Pilots,UK alt-rock with stadium ambition; narrative tone.,0.75,
Sasha Alex Sloan,singer-songwriter,US,2,Julia Michaels,Diary writing; streaming-forward consumption.,0.75,
Spacey Jane,alt rock,AU,2,The Neighbourhood,Modern AU guitar band; youth audience.,0.75,
Tash Sultana,indie folk,AU,2,Gregory Alan Isakov,One-person live performance virality archetype.,0.75,
The Paper Kites,indie folk,AU,2,Gregory Alan Isakov,AU indie-folk; mellow cinematic palette.,0.75,
The xx,indie pop,UK,2,Joji,Minimal indie-pop mood; influence anchor.,0.75,
Tove Lo,pop,SE,2,Charli XCX,Swedish pop with edge; candid persona.,0.75,
Tove Styrke,pop,SE,2,Charli XCX,Swedish pop with indie edge.,0.75,
Turnstile,alt rock,US,2,Twenty One Pilots,Crossover heavy alt; live momentum.,0.75,
Vance Joy,indie folk,AU,2,Hunter Metts,Accessible indie-folk with pop hooks.,0.75,
Veronica Maggio,pop,SE,2,Taylor Swift,Swedish pop; strong songwriting identity.,0.75,
Wet Leg,alt rock,UK,2,Wolf Alice,Quirky alt-rock breakout archetype; viral + indie press.,0.75,
Zara Larsson,pop,SE,2,Sabrina Carpenter,Swedish pop; clean vocal brand.,0.75,
beabadoobee,indie pop,UK,2,Clairo,Guitar indie-pop; Gen-Z consumption.,0.75,
Girl in Red,indie pop,NO,1,MUNA,Queer indie-pop community archetype.,0.75,
Laleh,singer-songwriter,SE,1,Adele,Swedish singer-songwriter; catalog depth.,0.75,
